Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$22.14,0.15,0.682%,36535694.00,United States,,7483,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.7451,0.0264,3.673%,89820770.00,Canada,2015,3926774,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$32.65,0.93,2.932%,109015509.00,United States,1988,7057,Capital Goods,Industrial Machinery/Components
ACY,AeroCentury Corp. Common Stock,$10.51,0.99,10.399%,16247241.00,United States,,124874,Technology,Diversified Commercial Services
AE,Adams Resources & Energy Inc. Common Stock,$26.21,1.33,5.346%,111190264.00,United States,,6451,Energy,Oil Refining/Marketing
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.72,0.10,1.16%,442555504.00,United States,,19842,,
AGE,AgeX Therapeutics Inc. Common Stock,$2.10,0.00,0.00%,79151199.00,,2018,218749,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.45,-0.30,-10.909%,97240529.00,United States,,15148127,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$7.94,0.00,0.00%,20278141.00,United States,2014,10678,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.74,0.01,0.578%,55209774.00,United States,,685833,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$3.03,-0.62,-16.986%,70342468.00,China,,14861606,Consumer Services,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.96,0.01,0.513%,362707800.00,United States,,4114994,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.92,0.09,3.18%,16822120.00,United States,,346588,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$16.96,-2.60,-13.292%,116881672.00,United States,2020,800843,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd. Common Stock,$16.49,0.02,0.121%,223898664.00,Canada,,921738,Health Care,Industrial Specialties
ARMP,Armata Pharmaceuticals Inc. Common Stock,$5.59,-0.17,-2.951%,104543526.00,United States,,18576,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.35,-0.06,-4.255%,120917721.00,Canada,,5246463,Basic Industries,Precious Metals
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$9.59,0.10,1.054%,130294775.00,United States,,358265,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.874,0.054,6.585%,132422058.00,United States,,2688130,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$3.48,-0.03,-0.855%,13486500.00,United States,,55036,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.90,0.08,2.837%,405315432.00,Canada,,1430105,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$8.22,0.32,4.051%,133196609.00,,,1858,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$34.63,1.20,3.59%,184404438.00,United States,,39288,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.80,-0.05,-0.193%,,United States,,100,,
BDL,Flanigan's Enterprises Inc. Common Stock,$24.354,0.00,0.00%,45265489.00,United States,,71,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.70,-0.02,-1.163%,19676504.00,United States,,2176319,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$1.86,0.41,28.276%,33425839.00,Canada,,1573110,Consumer Services,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$23.49,-0.20,-0.844%,350671992.00,United States,,14934,Finance,Major Banks
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$8.82,0.12,1.379%,355673794.00,,2018,39499,Basic Industries,Agricultural Chemicals
BKTI,BK Technologies Corporation Common Stock,$3.45,0.05,1.471%,43166283.00,United States,,10573,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$14.01,-0.42,-2.911%,170926231.00,,2018,114539,Finance,Major Banks
BRBS,Blue Ridge Bankshares Inc. Common Stock,$19.35,0.12,0.624%,110655316.00,,,9691,Finance,Major Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$11.27,0.03,0.267%,268763387.00,,2014,352979,Consumer Services,Real Estate Investment Trusts
BRG^A,Bluerock Residential Growth REIT Inc. 8.250% Series A Cumulative Redeemable Preferred Stock ($0.01 par value per share),$25.28,-0.01,-0.04%,,,,5239,,
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.60,0.09,0.353%,,,,601,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.90,0.05,0.193%,,,,1769,,
BRN,Barnwell Industries Inc. Common Stock,$3.25,0.48,17.329%,26900770.00,United States,,1475747,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$5.04,0.06,1.205%,5294984577.00,Canada,,6250624,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$2.445,0.055,2.301%,36162464.00,United States,,559929,Miscellaneous,Industrial Machinery/Components
BWL/A,Bowl America Inc.,$10.24,0.04,0.392%,,United States,,7500,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.09,0.03,1.456%,32215222.00,Israel,,588306,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$108.42,2.27,2.138%,1024177712.00,United States,,16682,Consumer Durables,Building Products
CDOR,Condor Hospitality Trust Inc. Common Stock,$5.205,-0.045,-0.857%,62538674.00,United States,,32124,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$1.48,0.04,2.778%,37000000.00,United States,,7636770,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$34.50,0.05,0.145%,889655295.00,United States,,12616,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$13.70,0.05,0.366%,97729978.00,United States,1999,25315,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.65,0.10,0.948%,114788948.00,,2020,13757,Finance,Business Services
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$10.32,-0.06,-0.578%,123158880.00,,2021,32603,,
